anomaly,line_id,value,timestamps,Hour_Minute,Date,y_pred,y_pred_score
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,402486.0,2019-06-08 04:25:00,04:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,396256.0,2019-06-08 04:30:00,04:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,391201.0,2019-06-08 04:35:00,04:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,383642.0,2019-06-08 04:40:00,04:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,380928.0,2019-06-08 04:45:00,04:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,376584.0,2019-06-08 04:50:00,04:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,371623.0,2019-06-08 04:55:00,04:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,365570.0,2019-06-08 05:00:00,05:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,360448.0,2019-06-08 05:05:00,05:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,355809.0,2019-06-08 05:10:00,05:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,351962.0,2019-06-08 05:15:00,05:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,347097.0,2019-06-08 05:20:00,05:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,341587.0,2019-06-08 05:25:00,05:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,335991.0,2019-06-08 05:30:00,05:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,331195.0,2019-06-08 05:35:00,05:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,326674.0,2019-06-08 05:40:00,05:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,321971.0,2019-06-08 05:45:00,05:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,315089.0,2019-06-08 05:50:00,05:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,307647.0,2019-06-08 05:55:00,05:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,292170.0,2019-06-08 06:00:00,06:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,306471.0,2019-06-08 06:05:00,06:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,345001.0,2019-06-08 06:10:00,06:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,367727.0,2019-06-08 06:15:00,06:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,385964.0,2019-06-08 06:20:00,06:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,396459.0,2019-06-08 06:25:00,06:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,403788.0,2019-06-08 06:30:00,06:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,412623.0,2019-06-08 06:35:00,06:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,421855.0,2019-06-08 06:40:00,06:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,429379.0,2019-06-08 06:45:00,06:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,437104.0,2019-06-08 06:50:00,06:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,444128.0,2019-06-08 06:55:00,06:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,448718.0,2019-06-08 07:00:00,07:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,455228.0,2019-06-08 07:05:00,07:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,466620.0,2019-06-08 07:10:00,07:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,476858.0,2019-06-08 07:15:00,07:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,488151.0,2019-06-08 07:20:00,07:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,497153.0,2019-06-08 07:25:00,07:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,509564.0,2019-06-08 07:30:00,07:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,521433.0,2019-06-08 07:35:00,07:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,532368.0,2019-06-08 07:40:00,07:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,545253.0,2019-06-08 07:45:00,07:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,557238.0,2019-06-08 07:50:00,07:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,570466.0,2019-06-08 07:55:00,07:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,583956.0,2019-06-08 08:00:00,08:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,595791.0,2019-06-08 08:05:00,08:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,612624.0,2019-06-08 08:10:00,08:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,631825.0,2019-06-08 08:15:00,08:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,651772.0,2019-06-08 08:20:00,08:20:00,2019-06-08,99,99.0
1,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,932046.0757766936,2019-06-08 08:25:00,08:25:00,2019-06-08,99,99.0
1,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,692110.0,2019-06-08 08:30:00,08:30:00,2019-06-08,99,99.0
1,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,713481.0,2019-06-08 08:35:00,08:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,736380.0,2019-06-08 08:40:00,08:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,758349.0,2019-06-08 08:45:00,08:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,780785.0,2019-06-08 08:50:00,08:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,802613.0,2019-06-08 08:55:00,08:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,823584.0,2019-06-08 09:00:00,09:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,845943.0,2019-06-08 09:05:00,09:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,868121.0,2019-06-08 09:10:00,09:10:00,2019-06-08,99,99.0
